city,2010 census population,Total paudacity sales,Land Area,Households with Under 18,Population Density,Total Families
Buffalo,4585,185328,3115.5075,746,1.55,1819.5
Casper,35316,317736,3894.3091,7788,11.16,8756.32
Cheyenne,59466,917892,1500.1784,7158,20.34,14612.64
Cody,9520,218376,2998.95696,1403,1.82,3515.62
Douglas,6120,208008,1829.4651,832,1.46,1744.08
Evanston,12359,283824,999.4971,1486,4.95,2712.64
Gillette,29087,543132,2748.8529,4052,5.8,7189.43
Powell,6314,233928,2673.57455,1251,1.62,3134.18
Riverton,10615,303264,4796.859815,2680,2.34,5556.49
Rock Springs,23036,253584,6620.201916,4022,2.78,7572.18
Sheridan,17444,308232,1893.977048,2646,8.98,6039.71
