,carat,cut,cut_ord,color,clarity,clarity_ord,price
1,1.22,Premium,4,G,SI1,3,6995.26
2,1.01,Good,2,G,VS2,5,5820.33
3,0.71,Very Good,3,I,VS2,5,3454.53
4,1.01,Ideal,5,D,SI2,2,4932.63
5,0.27,Ideal,5,H,VVS2,6,523.01
6,0.52,Premium,4,G,VS1,4,1560.16
7,1.01,Premium,4,F,SI1,3,5228.53
8,0.59,Ideal,5,D,SI1,3,1853.17
9,1.01,Good,2,E,SI1,3,4912.33
10,2.03,Ideal,5,F,SI2,2,13513.89
11,1.35,Premium,4,H,VS2,5,8996.95
12,0.74,Ideal,5,G,SI1,3,3115.12
13,0.9,Premium,4,D,SI1,3,4303.1
14,0.3,Good,2,G,VS2,5,-152.9
15,1.01,Good,2,F,VS2,5,5820.33
16,1.02,Good,2,H,SI2,2,4542.46
17,2.05,Premium,4,G,SI1,3,13978.05
18,0.54,Ideal,5,I,SI1,3,1432.52
19,0.72,Ideal,5,G,VS2,5,3854.86
20,2,Premium,4,J,SI2,2,13103.4
21,1.57,Premium,4,G,SI2,2,9485.81
22,0.89,Premium,4,G,SI1,3,4218.97
23,0.33,Premium,4,I,VVS2,6,869.69
24,0.3,Very Good,3,G,IF,8,1367.2
25,1.79,Very Good,3,I,VS2,5,12540.57
26,1.11,Ideal,5,E,SI2,2,5773.93
27,0.79,Premium,4,F,SI1,3,3377.67
28,0.71,Very Good,3,F,SI1,3,2546.53
29,0.73,Ideal,5,G,SI1,3,3030.99
30,0.9,Very Good,3,G,VS2,5,5053
31,1.31,Good,2,I,VS1,4,7890.23
32,1.01,Ideal,5,F,SI2,2,4932.63
33,0.35,Premium,4,D,SI1,3,-324.05
34,0.41,Premium,4,G,VS2,5,1088.73
35,0.32,Premium,4,E,VS2,5,331.56
36,0.38,Ideal,5,D,VS1,4,540.44
37,1.21,Premium,4,I,SI2,2,6457.13
38,1,Premium,4,F,SI1,3,5144.4
39,0.56,Ideal,5,H,VS2,5,2508.78
40,1,Good,2,J,SI1,3,4828.2
41,0.32,Premium,4,H,VVS1,7,1239.56
42,1.7,Ideal,5,D,SI1,3,11191.6
43,2.26,Very Good,3,D,SI2,2,15132.68
44,0.32,Premium,4,D,VS2,5,331.56
45,0.4,Very Good,3,F,VVS1,7,1754.5
46,2.13,Very Good,3,G,SI2,2,14038.99
47,0.7,Premium,4,G,VS2,5,3528.5
48,2.01,Premium,4,H,SI1,3,13641.53
49,1.15,Premium,4,G,SI1,3,6406.35
50,0.71,Ideal,5,E,VS1,4,3316.73
51,1.35,Premium,4,G,VVS2,6,9450.95
52,0.51,Ideal,5,F,SI1,3,1180.13
53,0.34,Ideal,5,D,IF,8,2019.92
54,1.58,Ideal,5,G,VS1,4,10636.04
55,2.05,Good,2,G,SI2,2,13207.85
56,0.41,Ideal,5,H,VS1,4,792.83
57,0.6,Fair,1,F,SI1,3,1304.9
58,0.31,Ideal,5,H,IF,8,1767.53
59,0.64,Very Good,3,D,SI1,3,1957.62
60,0.71,Premium,4,J,SI1,3,2704.63
61,0.55,Ideal,5,F,VS2,5,2424.65
62,1.26,Very Good,3,G,VVS2,6,8535.68
63,1.03,Premium,4,G,VS1,4,5850.79
64,1.01,Premium,4,H,SI2,2,4774.53
65,0.25,Very Good,3,E,VVS2,6,38.55
66,0.9,Premium,4,H,SI1,3,4303.1
67,0.45,Premium,4,D,VS1,4,971.25
68,0.3,Ideal,5,F,IF,8,1683.4
69,0.9,Good,2,D,SI2,2,3532.9
70,0.8,Very Good,3,F,VS2,5,4211.7
71,0.33,Premium,4,G,VS1,4,-38.31
72,0.71,Ideal,5,G,SI1,3,2862.73
73,0.7,Premium,4,D,SI1,3,2620.5
74,0.78,Ideal,5,H,SI2,2,2997.64
75,0.7,Very Good,3,F,SI2,2,2008.4
76,0.38,Ideal,5,F,VVS2,6,1448.44
77,0.54,Premium,4,J,VS2,5,2182.42
78,0.25,Good,2,E,VVS2,6,-119.55
79,2.5,Good,2,J,VS2,5,18355.7
80,0.72,Good,2,D,VS1,4,2926.56
81,0.41,Ideal,5,E,VS2,5,1246.83
82,2.03,Ideal,5,G,SI2,2,13513.89
83,1.24,Premium,4,D,SI1,3,7163.52
84,0.92,Premium,4,G,SI2,2,4017.36
85,1,Fair,1,E,SI2,2,4216.1
86,0.57,Ideal,5,F,VS1,4,2138.91
87,0.54,Ideal,5,D,SI1,3,1432.52
88,1.08,Premium,4,H,SI2,2,5363.44
89,0.54,Very Good,3,H,VVS1,7,2932.32
