Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2331,5,189933.326784526,355246.753380896,298025.966410166,81840.6871588869,24619.9001881563
2331,6,189933.326784526,357854.288101142,299730.94172058,80135.7118484726,22012.3654679112
2331,7,189933.326784526,360421.946598164,301409.843370099,78456.8101989535,19444.7069708893
2331,8,189933.326784526,362951.50421806,303063.832195141,76802.8213739119,16915.1493509931
2331,9,189933.326784526,365444.608356066,304693.985369551,75172.6681995015,14422.0452129865
2331,10,189933.326784526,367902.791006193,306301.304610371,73565.3489586819,11963.8625628597
2331,11,189933.326784526,370327.479771284,307886.723376926,71979.9301921273,9539.17379776848
2331,12,189933.326784526,372720.007558243,309451.113210193,70415.5403588593,7146.64601080987
2332,1,189933.326784526,375081.621145385,310995.289334697,68871.3642343557,4785.03242366741
2332,2,189933.326784526,377413.488778264,312520.015625144,67346.6379439083,2453.16479078899
2332,3,189933.326784526,379716.706925309,314026.009023706,65840.6445453465,149.946643743897
2332,4,189933.326784526,381992.306304161,315513.943480423,64352.71008863,-2125.65273510836
