Store,Date,Total_Produce_Sales
S0001,2012-03-01,225673.98
S0002,2012-03-01,180807.28
S0003,2012-03-01,414220.35
S0004,2012-03-01,318089.78
S0005,2012-03-01,347365.79
S0006,2012-03-01,319103.84
S0007,2012-03-01,358683.89
S0008,2012-03-01,324595.3
S0010,2012-03-01,260862.88
S0011,2012-03-01,202356.19
S0012,2012-03-01,475858.64
S0013,2012-03-01,351314.29
S0014,2012-03-01,323592.39
S0015,2012-03-01,315808.29
S0016,2012-03-01,218826.9
S0017,2012-03-01,366297.44
S0018,2012-03-01,290779.17
S0019,2012-03-01,300543.28
S0020,2012-03-01,261494.09
S0021,2012-03-01,279505.12
S0022,2012-03-01,288862.11
S0023,2012-03-01,202060.07
S0024,2012-03-01,259067.38
S0025,2012-03-01,335180.19
S0026,2012-03-01,210446.7
S0027,2012-03-01,314975.5
S0028,2012-03-01,198915.8
S0029,2012-03-01,323239.95
S0030,2012-03-01,320892.24
S0031,2012-03-01,252019
S0033,2012-03-01,418944.92
S0034,2012-03-01,413583.27
S0035,2012-03-01,178399.23
S0036,2012-03-01,243199.65
S0038,2012-03-01,197593.07
S0039,2012-03-01,188485.8
S0040,2012-03-01,466422.56
S0041,2012-03-01,270494.64
S0042,2012-03-01,377296.91
S0043,2012-03-01,280208.12
S0044,2012-03-01,433134.33
S0045,2012-03-01,435112.65
S0046,2012-03-01,449507.53
S0047,2012-03-01,504370.25
S0049,2012-03-01,231140.4
S0051,2012-03-01,253979.91
S0052,2012-03-01,540188.59
S0053,2012-03-01,284122.68
S0054,2012-03-01,619103.31
S0055,2012-03-01,434965.56
S0056,2012-03-01,227602.7
S0058,2012-03-01,281117.29
S0059,2012-03-01,408795.15
S0060,2012-03-01,337171.23
S0061,2012-03-01,434186.17
S0062,2012-03-01,333842.28
S0063,2012-03-01,272054.82
S0064,2012-03-01,262053.13
S0065,2012-03-01,378490.05
S0066,2012-03-01,370700.65
S0067,2012-03-01,318802.96
S0068,2012-03-01,451817.18
S0069,2012-03-01,367682.24
S0070,2012-03-01,354962.22
S0071,2012-03-01,419612.45
S0072,2012-03-01,399092.61
S0073,2012-03-01,418625.27
S0074,2012-03-01,221454.69
S0075,2012-03-01,315069.33
S0076,2012-03-01,252139.27
S0077,2012-03-01,296126.57
S0078,2012-03-01,243959.06
S0079,2012-03-01,253769.98
S0080,2012-03-01,130171.74
S0081,2012-03-01,190184.85
S0082,2012-03-01,437824.24
S0083,2012-03-01,238035.12
S0084,2012-03-01,245858.94
S0085,2012-03-01,228632.44
S0001,2012-04-01,209257.48
S0002,2012-04-01,177368.09
S0003,2012-04-01,405416.28
S0004,2012-04-01,311692.39
S0005,2012-04-01,337536.25
S0006,2012-04-01,321612.06
S0007,2012-04-01,342127.87
S0008,2012-04-01,320632.52
S0010,2012-04-01,262778.76
S0011,2012-04-01,197974.13
S0012,2012-04-01,455172.87
S0013,2012-04-01,344233.31
S0014,2012-04-01,331004.5
S0015,2012-04-01,277424.83
S0016,2012-04-01,211118.72
S0017,2012-04-01,374207.47
S0018,2012-04-01,280702.48
S0019,2012-04-01,300708.74
S0020,2012-04-01,234961.36
S0021,2012-04-01,280631.28
S0022,2012-04-01,274252.14
S0023,2012-04-01,186515.65
S0024,2012-04-01,250727.22
S0025,2012-04-01,319808.28
S0026,2012-04-01,205670.8
S0027,2012-04-01,315479.01
S0028,2012-04-01,187266.36
S0029,2012-04-01,314614.84
S0030,2012-04-01,317391.78
S0031,2012-04-01,233859.6
S0033,2012-04-01,398248.29
S0034,2012-04-01,385342.56
S0035,2012-04-01,169600.83
S0036,2012-04-01,240727.09
S0038,2012-04-01,191187.52
S0039,2012-04-01,184487.45
S0040,2012-04-01,473092.23
S0041,2012-04-01,253116.21
S0042,2012-04-01,346286.78
S0043,2012-04-01,272264.47
S0044,2012-04-01,400160.85
S0045,2012-04-01,437472.03
S0046,2012-04-01,437703.58
S0047,2012-04-01,477172.75
S0049,2012-04-01,233985.41
S0051,2012-04-01,264361.47
S0052,2012-04-01,581041.26
S0053,2012-04-01,278680.96
S0054,2012-04-01,554543.52
S0055,2012-04-01,399711.87
S0056,2012-04-01,237713.82
S0058,2012-04-01,284311.52
S0059,2012-04-01,378377.39
S0060,2012-04-01,312801.36
S0061,2012-04-01,413665.45
S0062,2012-04-01,328848.78
S0063,2012-04-01,285151.62
S0064,2012-04-01,260001.57
S0065,2012-04-01,375909.66
S0066,2012-04-01,349104
S0067,2012-04-01,271275.27
S0068,2012-04-01,436701.53
S0069,2012-04-01,366288.04
S0070,2012-04-01,336647.41
S0071,2012-04-01,407316.2
S0072,2012-04-01,411640.62
S0073,2012-04-01,393224.01
S0074,2012-04-01,215267.78
S0075,2012-04-01,326976.79
S0076,2012-04-01,247471.44
S0077,2012-04-01,281751.87
S0078,2012-04-01,242001.28
S0079,2012-04-01,270194.92
S0080,2012-04-01,134559.19
S0081,2012-04-01,185123.1
S0082,2012-04-01,402316.02
S0083,2012-04-01,228367.57
S0084,2012-04-01,226235.28
S0085,2012-04-01,235470.7
S0001,2012-05-01,239711.93
S0002,2012-05-01,192246.74
S0003,2012-05-01,449128.53
S0004,2012-05-01,339935.6
S0005,2012-05-01,378403.65
S0006,2012-05-01,364208.42
S0007,2012-05-01,402085.27
S0008,2012-05-01,337155.49
S0009,2012-05-01,229053.54
S0010,2012-05-01,300510.2
S0011,2012-05-01,225874.99
S0012,2012-05-01,515910.22
S0013,2012-05-01,396175.84
S0014,2012-05-01,393555.39
S0015,2012-05-01,363849.11
S0016,2012-05-01,244443.51
S0017,2012-05-01,445198.34
S0018,2012-05-01,328596.81
S0019,2012-05-01,349209.11
S0020,2012-05-01,275942.44
S0021,2012-05-01,306632.6
S0022,2012-05-01,326262.86
S0023,2012-05-01,222702.48
S0024,2012-05-01,296120.59
S0025,2012-05-01,378024.48
S0026,2012-05-01,229319.74
S0027,2012-05-01,375198.19
S0028,2012-05-01,221118.43
S0029,2012-05-01,343059.25
S0030,2012-05-01,287412.57
S0031,2012-05-01,279105.82
S0033,2012-05-01,480773.39
S0034,2012-05-01,463190.57
S0035,2012-05-01,201796.39
S0036,2012-05-01,276513.93
S0038,2012-05-01,226352.97
S0039,2012-05-01,197985.4
S0040,2012-05-01,532503.71
S0041,2012-05-01,291644.9
S0042,2012-05-01,418022.02
S0043,2012-05-01,332923.26
S0044,2012-05-01,414809.31
S0045,2012-05-01,514457.32
S0046,2012-05-01,481217.22
S0047,2012-05-01,562787.48
S0049,2012-05-01,273451.13
S0051,2012-05-01,368430.17
S0052,2012-05-01,674688.92
S0053,2012-05-01,292606.85
S0054,2012-05-01,654261.14
S0055,2012-05-01,491316.9
S0056,2012-05-01,261395.32
S0058,2012-05-01,328012.91
S0059,2012-05-01,422795.89
S0060,2012-05-01,381720.9
S0061,2012-05-01,470167.81
S0062,2012-05-01,381117.59
S0063,2012-05-01,298714.8
S0064,2012-05-01,294237.13
S0065,2012-05-01,425808.9
S0066,2012-05-01,411781.44
S0067,2012-05-01,346370.27
S0068,2012-05-01,503157.17
S0069,2012-05-01,411959.93
S0070,2012-05-01,402124.04
S0071,2012-05-01,464985.8
S0072,2012-05-01,432685.99
S0073,2012-05-01,454422.47
S0074,2012-05-01,251153.62
S0075,2012-05-01,341039.66
S0076,2012-05-01,279607.35
S0077,2012-05-01,332740.47
S0078,2012-05-01,274754.78
S0079,2012-05-01,287905.03
S0080,2012-05-01,151364.83
S0081,2012-05-01,208543.3
S0082,2012-05-01,461781.38
S0083,2012-05-01,266492.3
S0084,2012-05-01,263542.44
S0085,2012-05-01,253270.37
S0001,2012-06-01,249080.61
S0002,2012-06-01,194825.62
S0003,2012-06-01,429226.21
S0004,2012-06-01,355413.89
S0005,2012-06-01,378595.36
S0006,2012-06-01,377469.43
S0007,2012-06-01,383449.26
S0008,2012-06-01,339147.24
S0009,2012-06-01,478760.84
S0010,2012-06-01,299495.2
S0011,2012-06-01,244306.9
S0012,2012-06-01,517785.71
S0013,2012-06-01,404824.36
S0014,2012-06-01,376871.16
S0015,2012-06-01,346381.89
S0016,2012-06-01,243225.78
S0017,2012-06-01,426343.09
S0018,2012-06-01,321312.59
S0019,2012-06-01,366117.6
S0020,2012-06-01,267727.74
S0021,2012-06-01,304648.49
S0022,2012-06-01,325522.51
S0023,2012-06-01,218795.29
S0024,2012-06-01,287879.09
S0025,2012-06-01,385614.64
S0026,2012-06-01,232867.64
S0027,2012-06-01,366124.17
S0028,2012-06-01,222321.2
S0029,2012-06-01,350605.86
S0030,2012-06-01,351114.69
S0031,2012-06-01,275103.97
S0033,2012-06-01,449821.53
S0034,2012-06-01,455651.84
S0035,2012-06-01,202852.66
S0036,2012-06-01,281187.67
S0038,2012-06-01,225095.63
S0039,2012-06-01,196970.58
S0040,2012-06-01,521827.44
S0041,2012-06-01,269144.42
S0042,2012-06-01,437613.2
S0043,2012-06-01,322028.93
S0044,2012-06-01,416210.92
S0045,2012-06-01,493528.85
S0046,2012-06-01,481399.33
S0047,2012-06-01,536499.3
S0048,2012-06-01,308374.19
S0049,2012-06-01,272655.88
S0051,2012-06-01,369601.12
S0052,2012-06-01,669362.59
S0053,2012-06-01,336901.07
S0054,2012-06-01,630389.17
S0055,2012-06-01,493344.22
S0056,2012-06-01,268943.83
S0058,2012-06-01,328988.15
S0059,2012-06-01,389782.36
S0060,2012-06-01,353070.76
S0061,2012-06-01,492371.22
S0062,2012-06-01,370475.71
S0063,2012-06-01,310286.28
S0064,2012-06-01,289686.6
S0065,2012-06-01,428037.92
S0066,2012-06-01,398199.43
S0067,2012-06-01,333199.4
S0068,2012-06-01,504984.8
S0069,2012-06-01,410568.21
S0070,2012-06-01,393735.44
S0071,2012-06-01,465848.37
S0072,2012-06-01,451902.25
S0073,2012-06-01,454469.59
S0074,2012-06-01,252428.84
S0075,2012-06-01,384253.89
S0076,2012-06-01,270971.59
S0077,2012-06-01,327130.02
S0078,2012-06-01,270074.42
S0079,2012-06-01,265941.68
S0080,2012-06-01,142253.07
S0081,2012-06-01,212213.66
S0082,2012-06-01,451495.8
S0083,2012-06-01,257195.09
S0084,2012-06-01,264720.62
S0085,2012-06-01,256716.75
S0001,2012-07-01,241885.27
S0002,2012-07-01,188189.39
S0003,2012-07-01,441235.73
S0004,2012-07-01,356866.22
S0005,2012-07-01,388291.33
S0006,2012-07-01,382158.58
S0007,2012-07-01,377388.52
S0008,2012-07-01,351071.64
S0009,2012-07-01,437128.7
S0010,2012-07-01,307068.08
S0011,2012-07-01,248349.57
S0012,2012-07-01,513709.36
S0013,2012-07-01,418893.8
S0014,2012-07-01,387193.73
S0015,2012-07-01,338764.85
S0016,2012-07-01,238487.15
S0017,2012-07-01,422168.81
S0018,2012-07-01,313562.36
S0019,2012-07-01,340045.1
S0020,2012-07-01,267998.98
S0021,2012-07-01,313897.82
S0022,2012-07-01,312379.75
S0023,2012-07-01,205242.67
S0024,2012-07-01,277283.82
S0025,2012-07-01,372371.13
S0026,2012-07-01,247513.67
S0027,2012-07-01,348578.85
S0028,2012-07-01,218899.7
S0029,2012-07-01,381505.3
S0030,2012-07-01,338829.4
S0031,2012-07-01,273602.27
S0033,2012-07-01,425680.53
S0034,2012-07-01,448758.67
S0035,2012-07-01,198363.91
S0036,2012-07-01,277316.19
S0038,2012-07-01,227125.94
S0039,2012-07-01,198941.8
S0040,2012-07-01,510232.78
S0041,2012-07-01,236747.86
S0042,2012-07-01,423312.27
S0043,2012-07-01,316859.92
S0044,2012-07-01,412677.09
S0045,2012-07-01,485422.08
S0046,2012-07-01,508663.06
S0047,2012-07-01,493826.27
S0048,2012-07-01,444777.15
S0049,2012-07-01,269775.8
S0051,2012-07-01,337080.09
S0052,2012-07-01,654527.97
S0053,2012-07-01,395853.41
S0054,2012-07-01,581183.8
S0055,2012-07-01,485742.93
S0056,2012-07-01,273389.26
S0058,2012-07-01,315267.72
S0059,2012-07-01,381683.33
S0060,2012-07-01,350294.6
S0061,2012-07-01,492117.81
S0062,2012-07-01,365596.44
S0063,2012-07-01,326367.28
S0064,2012-07-01,291183.86
S0065,2012-07-01,436012.96
S0066,2012-07-01,388801.07
S0067,2012-07-01,315219.05
S0068,2012-07-01,506347.16
S0069,2012-07-01,405869.4
S0070,2012-07-01,403933.32
S0071,2012-07-01,469274.82
S0072,2012-07-01,457384.43
S0073,2012-07-01,446763.72
S0074,2012-07-01,239652.79
S0075,2012-07-01,387466.37
S0076,2012-07-01,273838.99
S0077,2012-07-01,311953.86
